,Set,NGenes,Direction,PValue,FDR
1,GOBP_THYMOCYTE_MIGRATION,5,Down,1.15407768737792e-07,0.00183313699863109
2,GOBP_PHOSPHOLIPID_EFFLUX,7,Up,2.95937284352347e-07,0.00235033391232634
3,GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING,8,Up,4.85726165965734e-06,0.023862865304341
4,GOBP_L_GLUTAMINE_IMPORT_ACROSS_PLASMA_MEMBRANE,2,Down,7.32809613874761e-06,0.023862865304341
5,GOBP_GLUTAMINE_TRANSPORT,6,Down,9.01392544863043e-06,0.023862865304341
6,GOMF_L_GLUTAMINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,6,Down,9.01392544863043e-06,0.023862865304341
7,GOMF_PHOSPHATIDYLCHOLINE_FLOPPASE_ACTIVITY,5,Up,1.6027480891633e-05,0.0319855968670764
8,GOBP_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY,32,Down,2.30870335914442e-05,0.0319855968670764
9,GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,37,Down,2.45271929449333e-05,0.0319855968670764
10,GOBP_REGULATION_OF_GLIAL_CELL_MIGRATION,12,Down,2.57756767862424e-05,0.0319855968670764
11,HP_CYANOTIC_EPISODE,2,Down,3.18515808141596e-05,0.0319855968670764
12,GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION,8,Down,3.22895448572338e-05,0.0319855968670764
13,GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION,4,Down,3.90937543882173e-05,0.0319855968670764
14,GOCC_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX,2,Down,3.98344661575051e-05,0.0319855968670764
15,GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX,2,Down,3.98344661575051e-05,0.0319855968670764
16,GOMF_PHOSPHATIDYLCHOLINE_TRANSPORTER_ACTIVITY,11,Up,4.51874188293877e-05,0.0319855968670764
17,GOBP_EPINEPHRINE_SECRETION,1,Down,4.63150798251547e-05,0.0319855968670764
18,GOBP_EPINEPHRINE_TRANSPORT,1,Down,4.63150798251547e-05,0.0319855968670764
19,GOBP_NEGATIVE_REGULATION_OF_EPINEPHRINE_SECRETION,1,Down,4.63150798251547e-05,0.0319855968670764
20,GOBP_NEURON_GLIAL_CELL_SIGNALING,1,Down,4.63150798251547e-05,0.0319855968670764
21,GOCC_GABA_RECEPTOR_COMPLEX,1,Down,4.63150798251547e-05,0.0319855968670764
22,GOMF_GABA_RECEPTOR_ACTIVITY,1,Down,4.63150798251547e-05,0.0319855968670764
23,GOMF_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,1,Down,4.63150798251547e-05,0.0319855968670764
24,GOBP_SECONDARY_HEART_FIELD_SPECIFICATION,3,Down,4.84767031455895e-05,0.032083498031856
25,GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON,48,Down,5.49976012108789e-05,0.0337772263098706
26,HP_RECURRENT_TONSILLITIS,11,Up,5.52888368204883e-05,0.0337772263098706
27,GOMF_S100_PROTEIN_BINDING,11,Down,6.45560967998e-05,0.0379781126506675
28,GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY,6,Down,6.93516389810805e-05,0.0393421940562672
29,GOMF_CHEMOKINE_BINDING,16,Down,8.86931225224105e-05,0.0472043592788621
30,HP_DECREASED_CIRCULATING_COMPLEMENT_C4_CONCENTRATION,22,Down,9.6084036262603e-05,0.0472043592788621
31,GOBP_ASTROCYTE_CELL_MIGRATION,7,Down,9.65604566985214e-05,0.0472043592788621
32,GOBP_HEART_FIELD_SPECIFICATION,4,Down,9.66061929417949e-05,0.0472043592788621
33,GOBP_NEGATIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE,9,Down,0.000100542682249101,0.0472043592788621
34,HP_CHERRY_RED_SPOT_OF_THE_MACULA,12,Up,0.000103365715215316,0.0472043592788621
35,GOMF_PHOSPHATIDYLSERINE_FLOPPASE_ACTIVITY,8,Up,0.000104013634774627,0.0472043592788621
36,GOBP_DENDRITIC_CELL_CHEMOTAXIS,17,Down,0.000107237290645142,0.04731547568354
37,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION,29,Down,0.000135546903019866,0.0581899191234474
38,GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,19,Down,0.000140685596507297,0.0588065793400503
39,GOMF_FLOPPASE_ACTIVITY,12,Up,0.000190522398227558,0.0758903844587728
40,GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,9,Up,0.0001911115196645,0.0758903844587728
41,GOBP_REGULATION_OF_NMDA_RECEPTOR_ACTIVITY,6,Down,0.000201077171743039,0.0779002389260103
