,Set,NGenes,Direction,PValue,FDR
1,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,86,Up,2.07684899217947e-07,0.000171340041854806
2,WP_OXIDATIVE_PHOSPHORYLATION,50,Up,7.42222884872709e-07,0.000306166940009992
3,WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,50,Up,4.37522464751569e-06,0.00120318677806681
4,WP_COMPLEMENT_ACTIVATION,11,Up,4.96130567012121e-05,0.010232692944625
5,WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,Down,0.000324907005396277,0.0536096558903857
6,WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,Up,0.000904310265649933,0.124342661526866
7,WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,128,Up,0.00129789438571317,0.150458673340925
8,WP_FTO_OBESITY_VARIANT_MECHANISM,2,Up,0.00162540351484505,0.150458673340925
9,WP_COMPLEMENTMEDIATED_INFLAMMATION_OF_PULMONARY_ALVEOLUS_IN_COVID19_HYPOTHETICAL_PATHWAY,5,Up,0.00164136734553736,0.150458673340925
10,WP_OXIDATIVE_STRESS_RESPONSE,21,Up,0.00206855635100303,0.17065589895775
11,WP_SELENIUM_MICRONUTRIENT_NETWORK,50,Up,0.00317364591191444,0.238023443393583
12,WP_OXIDATIVE_DAMAGE_RESPONSE,33,Up,0.00490095738213929,0.30814906365842
13,WP_DEVELOPMENT_OF_PULMONARY_DENDRITIC_CELLS_AND_MACROPHAGE_SUBSETS,11,Down,0.00543492082613395,0.30814906365842
14,WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,Down,0.00552311092698882,0.30814906365842
15,WP_FERROPTOSIS,48,Up,0.00583476567283856,0.30814906365842
16,WP_COMPLEMENT_SYSTEM,53,Up,0.00597622426489057,0.30814906365842
17,WP_LIVER_X_RECEPTOR_PATHWAY,5,Up,0.0076977917082704,0.341991409414342
18,WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.00822691248746948,0.341991409414342
19,WP_TRYPTOPHAN_CATABOLISM_LEADING_TO_NAD_PRODUCTION,10,Up,0.00946062577165608,0.341991409414342
20,WP_G1_TO_S_CELL_CYCLE_CONTROL,49,Up,0.00953395413937092,0.341991409414342
21,WP_PTDINS45P2_IN_CYTOKINESIS_PATHWAY,8,Down,0.0096261264403114,0.341991409414342
22,WP_UDPDERIVED_SUGARS_SYNTHESIS_IN_FIBROBLASTS,10,Up,0.00963970870843861,0.341991409414342
23,WP_TP53_NETWORK,14,Up,0.00989297292496148,0.341991409414342
24,WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,5,Down,0.00994884100114448,0.341991409414342
25,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,63,Up,0.0103875696978048,0.342789800027559
26,WP_ATR_SIGNALING,10,Up,0.0134988324483007,0.428328337301848
27,WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,55,Up,0.0157968819142296,0.482682502934793
28,WP_DNA_MISMATCH_REPAIR,21,Up,0.0167690790096354,0.49408893510533
29,WP_SMALL_LIGAND_GPCRS,7,Down,0.0175732918467841,0.499929854261962
30,WP_ALLOGRAFT_REJECTION,50,Up,0.0186024061983951,0.511566170455865
31,WP_FATTY_ACID_TRANSPORTERS,10,Up,0.0223993380237356,0.565945146716395
32,WP_BIOGENIC_AMINE_SYNTHESIS,1,Up,0.0231506031555335,0.565945146716395
33,WP_NEUROTRANSMITTER_DISORDERS,1,Up,0.0231506031555335,0.565945146716395
34,WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,27,Down,0.0238794717246489,0.565945146716395
35,WP_DOPAMINE_METABOLISM,7,Up,0.0241731559735258,0.565945146716395
36,WP_MAMMARY_GLAND_DEVELOPMENT_INVOLUTION_STAGE_4_OF_4,8,Up,0.0246957882203518,0.565945146716395
37,WP_RETT_SYNDROME,30,Down,0.0258714915272273,0.576864338107096
38,WP_FEMALE_STEROID_HORMONES_IN_CARDIOMYOCYTE_ENERGY_METABOLISM,10,Up,0.0270675461784916,0.581018046409178
39,WP_ESTROGEN_METABOLISM_WP5276,9,Up,0.0298132962175642,0.581018046409178
40,WP_ID_SIGNALING,11,Up,0.0300947065319025,0.581018046409178
41,WP_MULTIPLE_EPIPHYSEAL_DYSPLASIA_AND_PSEUDOACHONDROPLASIA_GENES,1,Down,0.0311183452952616,0.581018046409178
42,WP_FOXA2_PATHWAY,9,Up,0.0312375659038058,0.581018046409178
43,WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,47,Down,0.0317469915119139,0.581018046409178
44,WP_GLP1_IN_PANCREATIC_ISLET_CELLS,1,Down,0.0333072096722928,0.581018046409178
45,WP_DNA_DAMAGE_RESPONSE,57,Up,0.0334231937406665,0.581018046409178
46,WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION,26,Down,0.0334903116186319,0.581018046409178
47,WP_ROBO4_AND_VEGF_SIGNALING_CROSSTALK,3,Up,0.033906504257203,0.581018046409178
48,WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX,16,Down,0.0342194411852116,0.581018046409178
49,WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME,43,Down,0.0345089506352118,0.581018046409178
50,WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION,33,Down,0.0367798738670286,0.606867918805971
51,WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,58,Up,0.0433089809034042,0.700586455790362
52,WP_NUCLEAR_RECEPTORS_METAPATHWAY,176,Up,0.0447160971102969,0.709438079153749
53,WP_ESTROGEN_METABOLISM_WP697,6,Up,0.0469849060157573,0.709533197552544
54,WP_ETHER_LIPID_BIOSYNTHESIS,15,Down,0.046992779196386,0.709533197552544
